City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,clevelandia,-26.3958,-52.4708,16.9,96,91,2.39,BR,2023-10-30 01:13:23
126,sao felix do xingu,-6.6447,-51.995,24.26,67,6,0.13,BR,2023-10-30 01:13:23
127,pemba,-12.974,40.5178,29.39,79,40,1.54,MZ,2023-10-30 01:13:24
128,balaipungut,1.05,101.2833,29.65,74,77,0.84,ID,2023-10-30 01:13:24
129,raduzhny,62.0961,77.475,-9.7,86,72,1.1,RU,2023-10-30 01:13:24
130,siuna,13.7332,-84.7773,22.17,98,99,0.87,NI,2023-10-30 01:13:25
131,sakaiminato,35.55,133.2333,17.15,55,51,2.62,JP,2023-10-30 01:13:25
132,puerto leguizamo,-0.1934,-74.7819,22.72,86,100,0.53,CO,2023-10-30 01:13:25
133,belmonte,-15.8631,-38.8828,23.12,77,61,3.16,BR,2023-10-30 01:09:19
134,carnarvon,-24.8667,113.6333,24.19,54,0,8.76,AU,2023-10-30 01:07:00
135,manhattan,40.7834,-73.9662,13.3,90,100,4.63,US,2023-10-30 01:09:17
136,punta arenas,-53.15,-70.9167,3.06,56,0,8.75,CL,2023-10-30 01:02:28
137,pacific grove,36.6177,-121.9166,14.8,45,0,3.09,US,2023-10-30 01:06:45
138,poxoreo,-15.8372,-54.3892,24.77,70,36,1.19,BR,2023-10-30 01:13:27
139,sandnessjoen,66.0217,12.6316,-0.88,80,20,3.6,NO,2023-10-30 01:08:21
140,beira,-19.8436,34.8389,22.05,94,100,6.69,MZ,2023-10-30 01:13:28
141,iskateley,67.6803,53.1512,-7.21,93,100,6.26,RU,2023-10-30 01:09:10
142,pisco,-13.7,-76.2167,19.03,82,77,4.12,PE,2023-10-30 01:04:50
143,srivardhan,18.0333,73.0167,30.38,38,16,1.7,IN,2023-10-30 01:09:16
144,acarau,-2.8856,-40.12,26.03,80,76,7.36,BR,2023-10-30 01:07:55
145,keflavik,64.0049,-22.5624,3.24,75,0,3.6,IS,2023-10-30 01:06:56
146,selfoss,63.9331,-20.9971,0.02,73,72,2.99,IS,2023-10-30 01:07:44
147,puerto baquerizo moreno,-0.9,-89.6,23.21,80,100,5.26,EC,2023-10-30 01:12:26
148,utrik,11.2278,169.8474,28.08,82,67,9.09,MH,2023-10-30 01:06:52
149,zhigalovo,54.8097,105.1578,-1.91,42,2,0.48,RU,2023-10-30 01:13:30
150,saudarkrokur,65.7461,-19.6394,-0.8,81,22,3.63,IS,2023-10-30 01:13:30
151,zabaykal'sk,49.6333,117.3167,-0.23,24,47,1.41,RU,2023-10-30 01:13:31
152,am timan,11.0297,20.2827,24.92,60,88,0.85,TD,2023-10-30 01:08:09
153,dudinka,69.4058,86.1778,-19.1,98,69,0.97,RU,2023-10-30 01:07:08
154,toul,48.6667,5.9167,12.05,100,100,3.09,FR,2023-10-30 01:13:32
155,papatowai,-46.5619,169.4708,13.63,69,6,5.12,NZ,2023-10-30 01:07:22
156,timmins,48.4669,-81.3331,-1.4,66,100,1.22,CA,2023-10-30 01:07:16
157,xucheng,20.35,110.1288,25.86,77,87,6.26,CN,2023-10-30 01:13:33
158,isafjordur,66.0755,-23.124,1.37,82,27,1.9,IS,2023-10-30 01:07:23
159,lihue,21.9789,-159.3672,24.77,81,20,4.12,US,2023-10-30 01:04:55
160,kinel'-cherkassy,53.4706,51.4743,1.75,86,100,7.43,RU,2023-10-30 01:13:33
161,afaahiti,-17.75,-149.2833,24.93,83,40,8.48,PF,2023-10-30 01:08:50
162,nuku'alofa,-21.1333,-175.2,26.19,83,20,6.69,TO,2023-10-30 01:08:00
163,porto novo,6.4965,2.6036,25.61,87,73,1.88,BJ,2023-10-30 01:13:34
164,portland,45.5234,-122.6762,9.96,53,0,5.81,US,2023-10-30 01:12:11
165,port lincoln,-34.7333,135.8667,16.38,53,25,9.58,AU,2023-10-30 01:05:52
166,nacala,-14.5428,40.6728,29.04,65,16,0.88,MZ,2023-10-30 01:13:35
167,echuca,-36.1333,144.75,23.31,30,84,0.89,AU,2023-10-30 01:13:36
168,tomah,43.9786,-90.504,-2.03,100,0,0.0,US,2023-10-30 01:13:36
169,hamilton,39.1834,-84.5333,12.62,96,100,33.98,US,2023-10-30 01:13:36
170,san felipe,10.3399,-68.7425,22.07,96,88,0.65,VE,2023-10-30 01:13:36
171,anadyr,64.75,177.4833,-1.72,92,100,10.0,RU,2023-10-30 01:07:18
172,kapuskasing,49.4169,-82.4331,-4.09,93,84,0.59,CA,2023-10-30 01:08:48
173,olonkinbyen,70.9221,-8.7187,0.26,71,100,2.96,SJ,2023-10-30 01:07:03
174,novonikolayevskiy,50.9738,42.3649,2.01,80,63,2.6,RU,2023-10-30 01:13:38
175,bac lieu,9.285,105.7244,30.02,72,97,7.12,VN,2023-10-30 01:13:38
176,nyurba,63.2842,118.3319,-6.75,89,100,2.58,RU,2023-10-30 01:13:38
177,tolanaro,-25.0319,46.9987,26.47,69,12,1.0,MG,2023-10-30 01:07:01
178,danielskuil,-28.1887,23.5395,11.08,71,34,9.59,ZA,2023-10-30 01:13:39
179,timbuktu,16.7735,-3.0074,28.33,12,90,3.34,ML,2023-10-30 01:13:39
180,pangody,65.85,74.4859,-13.24,91,16,1.38,RU,2023-10-30 01:08:23
181,baotou,40.6522,109.8222,16.46,24,37,3.8,CN,2023-10-30 01:13:40
182,khamis mushait,18.3064,42.7292,15.34,77,75,3.6,SA,2023-10-30 01:13:40
183,argo,37.6333,22.7333,18.86,74,0,1.57,GR,2023-10-30 01:13:40
184,san patricio,28.017,-97.5169,16.92,70,14,8.55,US,2023-10-30 01:08:24
185,jabor,5.921,169.6434,29.0,73,82,4.04,MH,2023-10-30 01:13:41
186,polyarnyy,69.1989,33.4478,-6.25,92,100,4.67,RU,2023-10-30 01:07:24
187,qacha's nek,-30.1154,28.6894,0.66,66,26,1.38,LS,2023-10-30 01:13:42
